Method,Sequence
,Train,,,,,Val,Test
,00_02,02_02,06_02,07_02,08_02,05_02,09_02,10_02,Mean
scaled,0.0389,0.0835,0.0185,0.2400,0.1447,0.0423,0.0279,0.0384,0.0793
unscaled,0.1807,0.2624,0.1874,0.5747,0.4517,0.1965,0.0900,0.1218,0.2581
